                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.45598,                 0.2511,                  0.778,                0.97643,                0.92077,                0.96945,                 0.7139,                 1.0186,                 0.7104,                0.83392,              0.0010001,              0.0010001,              0.0010001
                    103,                0.44263,                0.24533,                0.77376,                0.99155,                   0.91,                0.96442,                 0.7084,                0.98782,                0.73037,                0.83267,              0.0009902,              0.0009902,              0.0009902
                    104,                0.42697,                0.24672,                0.77413,                0.98883,                0.90444,                0.96082,                0.71163,                 1.0179,                0.76782,                0.83378,              0.0009803,              0.0009803,              0.0009803
                    105,                0.43498,                0.24343,                 0.7772,                0.98026,                0.91667,                 0.9672,                0.73119,                0.99054,                 0.7027,                0.82996,              0.0009704,              0.0009704,              0.0009704
                    106,                0.43671,                0.25138,                0.77864,                0.99296,                0.91778,                0.97121,                0.70973,                 1.0292,                0.62734,                0.83268,              0.0009605,              0.0009605,              0.0009605
                    107,                0.44234,                0.24975,                0.77938,                0.97626,                0.91375,                0.96781,                0.69762,                 1.0534,                0.71297,                0.84128,              0.0009506,              0.0009506,              0.0009506
                    108,                0.44871,                0.24681,                0.77845,                0.96965,                 0.8876,                0.95259,                0.68792,                 1.0487,                0.79116,                0.83488,              0.0009407,              0.0009407,              0.0009407
                    109,                0.44417,                0.25102,                0.77736,                0.98089,                0.91556,                0.96593,                0.71239,                 1.0355,                0.69325,                0.83678,              0.0009308,              0.0009308,              0.0009308
                    110,                0.43345,                0.24802,                0.77533,                 0.9916,                0.91842,                0.96434,                0.70928,                 1.0374,                0.74575,                0.83517,              0.0009209,              0.0009209,              0.0009209
                    111,                0.43214,                0.24339,                 0.7783,                0.99079,                0.91333,                0.96451,                0.71471,                 1.0523,                0.74623,                 0.8421,               0.000911,               0.000911,               0.000911
                    112,                0.42546,                0.24185,                 0.7742,                0.98747,                0.92333,                0.97392,                0.71525,                 1.0464,                0.68616,                0.83878,              0.0009011,              0.0009011,              0.0009011
                    113,                 0.4288,                0.24465,                0.77054,                0.97794,                0.93602,                0.97747,                0.71548,                 1.0434,                0.66814,                0.83808,              0.0008912,              0.0008912,              0.0008912
                    114,                0.41902,                0.23392,                0.77598,                0.98298,                0.92333,                0.97251,                0.72768,                 1.0474,                0.65287,                 0.8382,              0.0008813,              0.0008813,              0.0008813
                    115,                0.42294,                0.23813,                0.77803,                0.98815,                0.92672,                 0.9679,                0.69326,                 1.0692,                0.69248,                0.83833,              0.0008714,              0.0008714,              0.0008714
                    116,                0.42533,                0.24017,                0.77176,                0.98463,                 0.9256,                0.97423,                0.71369,                 1.0217,                0.67176,                0.83556,              0.0008615,              0.0008615,              0.0008615
